"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"142","56_67",67,56,104.7634654,31.4220348,104.7722805,31.4250537,13
"143","56_927",927,56,104.7634654,31.4220348,104.7735466,31.4981568,13
"144","566_351",351,566,104.6792753,31.4681151,104.6124199,31.4576314,32
"145","566_408",408,566,104.6792753,31.4681151,104.7531982,31.4604576,17
"146","566_470",470,566,104.6792753,31.4681151,104.7405043,31.463527,14
"147","566_476",476,566,104.6792753,31.4681151,104.7271958,31.4633226,16
"148","566_500",500,566,104.6792753,31.4681151,104.6209012,31.464642,16
"149","566_516",516,566,104.6792753,31.4681151,104.7406819,31.4655495,29
"150","566_517",517,566,104.6792753,31.4681151,104.7489154,31.4663021,23
"151","566_519",519,566,104.6792753,31.4681151,104.7429271,31.4654325,13
"152","566_548",548,566,104.6792753,31.4681151,104.6856626,31.4673085,12
"153","566_56",56,566,104.6792753,31.4681151,104.7634654,31.4220348,20
"154","566_67",67,566,104.6792753,31.4681151,104.7722805,31.4250537,16
"155","566_927",927,566,104.6792753,31.4681151,104.7735466,31.4981568,12
"156","578_351",351,578,104.6596897,31.4688721,104.6124199,31.4576314,20
"157","578_476",476,578,104.6596897,31.4688721,104.7271958,31.4633226,11
"158","619_655",655,619,104.7609001,31.4715756,104.7646589,31.4740551,12
"159","619_717",717,619,104.7609001,31.4715756,104.750537,31.4802843,21
"160","619_719",719,619,104.7609001,31.4715756,104.7383672,31.4803948,24
"161","619_724",724,619,104.7609001,31.4715756,104.7353521,31.4806285,13
"162","619_736",736,619,104.7609001,31.4715756,104.7301857,31.4812084,12
"163","619_974",974,619,104.7609001,31.4715756,104.7358274,31.5067912,21
"164","653_351",351,653,104.6860951,31.4738378,104.6124199,31.4576314,15
"165","653_408",408,653,104.6860951,31.4738378,104.7531982,31.4604576,13
"166","653_479",479,653,104.6860951,31.4738378,104.7527998,31.4642013,11
"167","653_516",516,653,104.6860951,31.4738378,104.7406819,31.4655495,25
"168","653_56",56,653,104.6860951,31.4738378,104.7634654,31.4220348,18
"169","653_653",653,653,104.6860951,31.4738378,104.6860951,31.4738378,16
"170","653_786",786,653,104.6860951,31.4738378,104.7676795,31.486188,11
"171","653_836",836,653,104.6860951,31.4738378,104.685367,31.4898035,11
"172","653_927",927,653,104.6860951,31.4738378,104.7735466,31.4981568,53
"173","653_971",971,653,104.6860951,31.4738378,104.772232,31.5061283,11
"174","655_1016",1016,655,104.7646589,31.4740551,104.6600788,31.5128526,17
"175","655_135",135,655,104.7646589,31.4740551,104.7654496,31.4413548,14
"176","655_277",277,655,104.7646589,31.4740551,104.7189925,31.4545212,12
"177","655_318",318,655,104.7646589,31.4740551,104.7120913,31.4561485,11
"178","655_368",368,655,104.7646589,31.4740551,104.7070146,31.4584759,16
"179","655_389",389,655,104.7646589,31.4740551,104.6219992,31.4592982,12
"180","655_440",440,655,104.7646589,31.4740551,104.7220286,31.4615387,23
"181","655_476",476,655,104.7646589,31.4740551,104.7271958,31.4633226,17
"182","655_516",516,655,104.7646589,31.4740551,104.7406819,31.4655495,24
"183","655_523",523,655,104.7646589,31.4740551,104.7723748,31.4656126,23
"184","655_566",566,655,104.7646589,31.4740551,104.6792753,31.4681151,12
"185","655_617",617,655,104.7646589,31.4740551,104.7581004,31.4710907,16
"186","655_651",651,655,104.7646589,31.4740551,104.747114,31.4734972,11
"187","655_653",653,655,104.7646589,31.4740551,104.6860951,31.4738378,12
"188","655_655",655,655,104.7646589,31.4740551,104.7646589,31.4740551,49
"189","655_67",67,655,104.7646589,31.4740551,104.7722805,31.4250537,19
"190","655_689",689,655,104.7646589,31.4740551,104.7541077,31.4769291,12
"191","655_717",717,655,104.7646589,31.4740551,104.750537,31.4802843,19
"192","655_719",719,655,104.7646589,31.4740551,104.7383672,31.4803948,28
"193","655_724",724,655,104.7646589,31.4740551,104.7353521,31.4806285,36
"194","655_736",736,655,104.7646589,31.4740551,104.7301857,31.4812084,14
"195","655_788",788,655,104.7646589,31.4740551,104.7656124,31.4863085,22
"196","655_836",836,655,104.7646589,31.4740551,104.685367,31.4898035,12
"197","655_881",881,655,104.7646589,31.4740551,104.7051823,31.4937412,20
"198","655_899",899,655,104.7646589,31.4740551,104.6988677,31.4952719,22
"199","655_915",915,655,104.7646589,31.4740551,104.7343212,31.4966375,25
"200","655_927",927,655,104.7646589,31.4740551,104.7735466,31.4981568,31
"201","655_971",971,655,104.7646589,31.4740551,104.772232,31.5061283,12
"202","655_974",974,655,104.7646589,31.4740551,104.7358274,31.5067912,20
"203","664_67",67,664,104.7462779,31.4745355,104.7722805,31.4250537,13
"204","664_927",927,664,104.7462779,31.4745355,104.7735466,31.4981568,12
"205","67_118",118,67,104.7722805,31.4250537,104.7674238,31.4362287,12
