name,author,source,time,database,downloads,faculty,key_words,classification_number
基于生成对抗网络的无人机图像道路提取,何磊;李玉霞;彭博;吴焕萍,电子科技大学学报,2019/7/30,期刊,178,成都信息工程大学软件工程学院软件自动生成与智能服务四川省重点实验室电子科技大学自动化工程学院电子科技大学广东电子信息工程研究院国家气候中心业务系统发展与运控室,生成对抗网络; 图像处理; 道路提取; 无人机图像;,TP391.41
基于一维卷积混合神经网络的文本情感分类,陈郑淏;冯翱;何嘉,计算机应用,2019/3/29,期刊,391,成都信息工程大学计算机学院,情感分类; 卷积神经网络; 循环神经网络; 词向量; 深度学习; ,TP391.1;TP183
小尺度图像细节层的高频分量提取仿真,杨道静,计算机仿真,2019/6/15,期刊,15,成都信息工程大学银杏酒店管理学院,图像细节层; 高频分量提取; 图像处理; ,TP391.41
开放式网络交互信息敏感度准确度量仿真,周旭东,计算机仿真,2019/6/16,期刊,15,成都信息工程大学银杏酒店管理学院,开放式网络; 交互信息; 敏感度; 度量; ,TP309
基于SPSS软件的DMTree方法分析重购客户特征,岛宁,科技风,2019/8/19,期刊,83,成都信息工程大学银杏酒店管理学院,SPSS; 电子商务; 重购客户; ,F724.6;O212
构建地方政府网络理政绩效评估指标体系,张雄;刘锦扬;朱胜,商业经济,2019/8/20,期刊,78,成都信息工程大学统计学院,地方政府; 网络理政; 绩效评估; 构建思路; 研究结论; ,D63
休闲体育产业互联网化思维模式的变革,张和莉;潘丹旎,四川体育科学,2019/8/15,期刊,119,成都信息工程大学重庆大学,休闲体育; 体育产业; 互联网; 思维模式; ,G80-05
大学生网络学习行为影响因素研究——基于TAM模型,王臣;杨露,电脑知识与技术,2019/7/15,期刊,106,成都信息工程大学统计学院,大学生; 网络学习行为; 相关性分析; 技术采纳模型; ,G434;G642
基于循环神经网络的微博转发行为预测,穆圣坤;张路桥;滕彩峰,计算机系统应用,2019/8/15,期刊,91,成都信息工程大学网络空间安全学院,循环神经网络; 微博转发行为; 文本相似度; 粉丝兴趣; 转发趋势度; ,TP393.092;TP183
智能通讯网络敏感信息连接可靠性监测仿真,倪铉珣,计算机仿真,2019/7/15,期刊,11,成都信息工程大学银杏酒店管理学院,智能通讯网络; 敏感信息; 可靠性监测; ,TP309
基于深度学习的通信信号调制方式识别,侯涛;郑郁正,无线电工程,2019/8/20,期刊,285,成都信息工程大学,人工智能; 深度学习; 调制; 识别; ,TN911.3;TP181
结合IUV-4G的OTN网络虚拟通信实验设计,孙捷;贺龙周;赵心越;张衡,科学技术创新,2017/12/5,期刊,52,成都信息工程大学通信工程学院,实验设计; IUV; 虚拟通信仿真; OTN网络; ,G642;TN929.1-4
基于智能算法的月季鲜切花病虫害预测模型的探究,钱晔;孙吉红;彭琳;李文峰;汪惜今,计算机技术与发展,2017/8/1,期刊,164,云南农业大学基础与信息工程学院云南省高校农业信息技术重点实验室云南省科学技术院云南农业大学新农村发展研究院成都信息工程大学大气科学学院,,S436.8;TP18
无纸化考试系统的分析与设计,倪铉珣,经贸实践,2017/11/15,期刊,164,成都信息工程大学银杏酒店管理学院,无纸化考试系统; 功能需求分析; PHP; ,TP399-C1
基于PCA的太阳辐射观测算法研究,郑丹;马尚昌;张素娟,成都信息工程大学学报,2017/12/15,期刊,39,成都信息工程大学电子工程学院中国气象局大气探测重点开放实验室,太阳辐射; 主成分分析; 遗传算法; BP神经网络; 误差分析; ,P422.1;TP18
双偏振天气雷达水凝物识别研究,冉元波;孙敏;高梦清;王海江,成都信息工程大学学报,2017/12/15,期刊,126,成都信息工程大学电子工程学院,双偏振天气雷达; 水凝物分类; 偏振参量; 深度学习; 模糊逻辑; 聚类; ,P412.25
浅析网络可视化新闻中的视觉元素设计,向伶梅,西部皮革,2017/12/15,期刊,67,成都信息工程大学,可视化新闻; 视觉元素; 设计;,G210.7;J534
基于BP神经网络的处理器节能技术研究,郭兵;张鹏博;沈艳;黄义纯;曹亚波,工程科学与技术,2018/1/18,期刊,197,四川大学计算机学院成都信息工程大学控制工程学院,节能; DVFS; BP神经网络; 动态电压与频率调节; ,TP183;TP332
微博的高校舆情监控系统设计,文展;庞建;刘捷;张力,无线互联科技,2018/1/10,期刊,167,成都信息工程大学通信工程学院中国民航西南空管局,网络舆情; 微博; 爬虫; 监控; ,G206;G647
基于IUV的PTN网络虚拟通信实验平台设计与实现,贺龙周;孙捷,科学技术创新,2018/1/15,期刊,40,成都信息工程大学通信工程学院,实验平台; IUV-4G; PTN网络; ,TP311.52
结合IUV-4G的IP承载网虚拟通信实验设计,贺龙周;孙捷;赵心越;张衡,科学技术创新,2018/1/5,期刊,104,成都信息工程大学通信工程学院,实验设计; IUV; IP承载网; ,G642;TN91-4
新媒体时代吏治反腐网络舆情的政府治理,潘虹旭;王华,四川劳动保障,2017/10/15,期刊,83,成都信息工程大学重庆市潼南区别口镇人民政府成都信息工程大学管理学院,吏治反腐; 网络舆情; 政府治理; ,D262.6
防灾减灾网络信息服务质量影响因素分析,李阳旭,四川劳动保障,2017/10/15,期刊,21,成都信息工程大学管理学院,防灾减灾; 网络信息; 服务质量; 解释结构模型; 集群分析; ,D632.5
网络突发事件的传播与控制策略研究,唐晓彬;魏超然;周志敏;董莉;刘敦虎,管理世界,2017/8/15,期刊,981,对外经济贸易大学统计学院中华女子学院管理学院成都信息工程大学管理学院,网络; 突发事件的传播; 控制策略; ,D669
